id,date,timestamp,level,status,method,host,pathname,event_message,headers,regions,log_type,latency,log_count,logs,auth_user
c8b2f5ec-d7a4-4677-9e12-372f1352cb41,"""2026-06-29T12:21:25.857Z""",2026-06-29T12:21:25.857000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
7c4777be-121b-4578-8338-6b8399dc9451,"""2026-06-29T12:21:25.857Z""",2026-06-29T12:21:25.857000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
75603532-4d2d-4de0-a20e-45768488ff79,"""2026-06-29T12:21:25.856Z""",2026-06-29T12:21:25.856000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
1a909f90-3de5-40c7-9652-1854dbeacc91,"""2026-06-29T12:21:25.856Z""",2026-06-29T12:21:25.856000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
3e69b7a0-fb9e-4f50-891f-92c80307a3a0,"""2026-06-29T11:46:51.082Z""",2026-06-29T11:46:51.082000,success,00000,,,,"checkpoint complete: wrote 40 buffers (0.1%); 0 WAL file(s) added, 0 removed, 3 recycled; write=3.860 s, sync=0.006 s, total=3.901 s; sync files=13, longest=0.003 s, average=0.001 s; distance=49024 kB, estimate=56844 kB; lsn=3/60000080, redo lsn=3/60000028",{},[],postgres,0,null,[],null
4c395285-7136-44c4-a6bc-c736c7f2916d,"""2026-06-29T11:46:47.182Z""",2026-06-29T11:46:47.182000,success,00000,,,,checkpoint starting: time,{},[],postgres,0,null,[],null
948ac6f5-95a3-46cf-acfc-58783b7777e6,"""2026-06-29T11:45:47.656Z""",2026-06-29T11:45:47.656000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
3643dd60-ecba-412e-a2fc-49a397f9f6bb,"""2026-06-29T11:45:47.656Z""",2026-06-29T11:45:47.656000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
fe13af64-4fdd-4e3f-821a-7b9d639bc5ea,"""2026-06-29T11:45:47.656Z""",2026-06-29T11:45:47.656000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
c395675f-1e5b-4244-8099-b9ed7a81caf6,"""2026-06-29T11:45:47.656Z""",2026-06-29T11:45:47.656000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
